="",="(1)",="",="",="",="",=""
="",="Full Sample",="",="",="",="",=""
="",="N",="mean",="p50",="sd",="min",="max"
="Cash savings USD",="",="34.67736",="41.63704",="26.05858",="0",="71.31852"
="Jewellery Savings USD",="",="18.42092",="18.55926",="10.69148",=".1851852",="35.41481"
="Total Savings USD",="",="28.37427",="24.76296",="18.91136",="2.496296",="105.7111"
="Observations",="1287",="",="",="",="",=""
="Mean, median, standard deviation, min, and max included."
